"","spm.median","spm.mean","spm.geomean","spm.validn","spm.sd","spm.filtmean","spm.cv"
"2003-07-31",14.4079556465149,14.4079556465149,14.4075390461443,2,0.154948673865451,14.4079556465149,0.0107543830413533
"2003-08-25",7.68730330467224,7.68730330467224,7.68418677442803,2,0.309534210484132,7.68730330467224,0.040265642998111
"2003-08-26",5.54770994186401,5.49930536746979,5.49776859818934,12,0.135050254572985,5.52276307886297,0.0204847467632039
"2003-08-31",13.1711869239807,13.1411128838857,13.1036813291814,12,1.01549255596075,13.2132960319519,0.0481536325930045
"2003-09-11",7.78927493095398,8.11871711413066,8.07679277243689,12,0.909685632908164,7.89378036152233,0.0623716146371698
"2003-09-13",11.2123861312866,11.4501110423695,11.4000029164411,11,1.20388001460123,11.104838180542,0.0352594045275115
"2003-09-17",20.6415843963623,20.6907634735107,20.6873878458245,6,0.410118684927047,20.5650489807129,0.0147262448110297
"2003-09-18",16.4039211273193,16.4708562519239,16.4436774128489,23,0.968868789784778,16.4584854670933,0.0511454431705193
"2003-09-22",19.2896995544434,19.0628951577579,19.0476259845355,17,0.780825662122607,19.2479225158691,0.0319890005679513
"2003-09-26",10.0270409584045,10.2381193854592,10.1915523303615,22,1.01248716174717,9.95049044960424,0.074465919532433
"2003-09-30",19.1622505187988,19.1622505187988,19.1622505187988,1,NA,NA,NA
"2003-10-08",10.0626449584961,10.5042585893111,10.4657820321067,22,0.953273743335296,10.2813167095184,0.0626934178462392
"2003-10-09",10.1918702125549,10.3132842381795,10.2750338752578,12,0.934261109305808,10.0141514778137,0.0684186564610197
"2003-10-10",12.5101690292358,12.8576308126035,12.8078436695576,23,1.18242038269857,12.5241926193237,0.0677340593729224
"2003-10-11",12.6080255508423,12.5825861295064,12.5595313058945,6,0.829228000873911,12.6080293655396,0.00839394945050713
"2003-11-11",21.549222946167,21.5794296264648,21.5786916853313,3,0.218716934210747,21.5794296264648,0.0101354362926495
"2004-05-17",17.6364078521729,17.6963625687819,17.6926331668631,13,0.37898147061751,17.6292633056641,0.0144438605386122
"2004-05-20",16.9378986358643,16.981363190545,16.97440460083,18,0.501213048986108,16.9732288122177,0.0236064844893291
"2004-06-16",6.22722721099854,6.41993640718006,6.34902141025931,21,0.985845807309286,6.24442426781905,0.13735763568704
"2004-06-18",4.93492007255554,5.15140828219327,5.12317955516329,22,0.571641012502139,4.97358665968242,0.0730298531330619
"2004-06-30",14.2822456359863,14.5651231493269,14.530779300012,7,1.07895329147154,14.5651231493269,0.0740778694700845
"2004-07-04",10.3503932952881,10.5793494796753,10.5635478200358,25,0.604788206175276,10.3932708826932,0.032371427360792
"2004-07-07",17.6711120605469,17.6711120605469,17.6711120605469,1,NA,NA,NA
"2004-07-13",12.8072261810303,12.8072261810303,12.8072261810303,1,NA,NA,NA
"2004-07-18",5.98008275032043,5.8986234664917,5.85808718724743,20,0.707491306782803,5.89076977305942,0.106575045211927
"2004-08-03",8.29366111755371,8.45805263519287,8.45388938661948,3,0.327328808808197,8.45805263519287,0.0387002567761549
"2004-08-24",19.8691921234131,19.8691921234131,19.8691921234131,1,NA,NA,NA
"2004-09-01",9.40823888778687,9.44551881154378,9.42282534565065,6,0.721658739328735,9.20525512695312,0.0507261198686109
"2004-09-02",11.1112642288208,11.2851592063904,11.2668692195797,10,0.682608061805759,11.2508560419083,0.0370927641539799
"2004-09-11",16.2017393112183,16.1728943188985,16.1569921738332,12,0.749057858820493,16.1831699371338,0.0379481805138132
"2004-09-13",6.58432292938232,6.87453410936438,6.85221461255781,23,0.582524599517684,6.63792012867175,0.0410900180431351
"2004-09-14",9.10576915740967,9.11002344555325,9.06047766579719,9,1.00643006191615,9.11002344555325,0.110475024343368
"2004-09-15",9.0369234085083,9.35796936698582,9.29081496758838,23,1.25367301513783,9.13581592386419,0.0740277399266323
"2004-09-26",7.93368768692017,8.03174756123469,7.99806395241715,13,0.766455821329823,8.04150672392412,0.076468415833102
"2004-09-27",6.95528268814087,7.02220630645752,6.97011203266061,16,0.898265841233847,6.78535890579224,0.0985631801360504
"2004-10-01",8.14690494537354,8.22979556189643,8.2025235361019,9,0.7123208742547,8.09074735641479,0.0762929710575532
"2004-10-02",10.0278286933899,10.0278286933899,10.0051407689221,2,0.953421730428702,10.0278286933899,0.0950775845480064
"2004-10-07",19.4032516479492,19.4032516479492,19.4032516479492,1,NA,NA,NA
"2004-10-08",17.1968898773193,17.593888092041,17.5488542683459,5,1.44765747639797,16.9680614471436,0.0252265419657168
"2004-10-30",15.4580073356628,15.4580073356628,15.4567467116983,2,0.279184096284043,15.4580073356628,0.0180608075945173
"2004-11-04",22.461145401001,22.461145401001,22.4605476479277,2,0.231741580551452,22.461145401001,0.0103174426955593
"2004-11-10",17.6109590530396,17.6109590530396,17.610772879748,2,0.114519393725073,17.6109590530396,0.0065027346540396
"2004-11-23",29.6399173736572,29.6399173736572,29.636350000677,2,0.650323849474366,29.6399173736572,0.0219408118206277
"2005-06-21",6.80299115180969,6.79933909575144,6.79444814561656,12,0.268234904092238,6.84136169606989,0.0345391046092007
"2005-07-04",9.45236873626709,9.45236873626709,9.45236873626709,1,NA,NA,NA
"2005-08-08",12.4032516479492,12.4138350486755,12.3831827121739,4,1.0067674430708,12.4138350486755,0.0811004366598393
"2005-08-18",12.2546534538269,9.86326012611389,8.68234100552164,10,4.64883027789597,9.86326012611389,0.471327960375674
"2005-08-19",6.5099573135376,6.5188235282898,6.48521374309106,10,0.692689356983007,6.52330803871155,0.0685128370644558
