"","spm.median","spm.mean","spm.geomean","spm.validn","spm.sd","spm.filtmean","spm.cv"
"2003-01-18",10.1407480239868,10.0678422927856,10.0645317619341,10,0.270632286449864,10.1227082146539,0.0217628258812494
"2003-01-30",10.9801545143127,11.0099555969238,11.0072788071225,10,0.257073038208654,10.9539859559801,0.0180529150309577
"2003-02-06",16.8754653930664,16.8323703178993,16.83054873606,13,0.257633806230546,16.8342928452925,0.0126398252673793
"2003-02-08",16.521785736084,16.3909145355225,16.3651146065607,5,1.02502728123604,16.3909145355225,0.0625363080879105
"2003-02-20",18.0228672027588,18.0228672027588,18.0228672027588,1,NA,NA,NA
"2003-04-08",15.486855506897,15.3402885437012,15.3371023485038,5,0.348565982608546,15.3402885437012,0.0227222572519126
"2003-04-10",14.8036098480225,14.7801753094322,14.771306692698,19,0.524902599301858,14.7882292130414,0.030534568551145
"2003-04-14",12.7703762054443,13.3443681853158,13.3009684188668,14,1.15044448510488,12.9745828310649,0.0549573727260127
"2003-04-17",16.0873565673828,16.0873565673828,16.0873565673828,1,NA,NA,NA
"2003-04-20",14.9351449012756,14.9067928140814,14.9052760935131,22,0.217182134023133,14.9460658550262,0.0123654127486744
"2003-04-30",10.654881477356,11.1632704734802,11.137001762289,10,0.81802845082837,11.1632704734802,0.0732785658801067
"2003-05-04",10.2659525871277,10.2574365536372,10.257083911116,24,0.0868717645706369,10.2642828899881,0.00798272673162265
"2003-05-05",10.5962753295898,10.603170522054,10.6030762124526,15,0.046292887609854,10.6028165817261,0.00347590433915054
"2003-05-16",7.77552366256714,7.41918438131159,7.38794769790759,11,0.685414892505191,7.7074581252204,0.0349410713501883
"2003-05-17",8.37621879577637,8.37778755187988,8.37650009760852,25,0.149862013049471,8.37931632995605,0.0153358330644215
"2003-05-18",8.51039409637451,8.534484439426,8.53326593686496,18,0.148291843677993,8.53677529096603,0.0145523504425619
"2003-05-19",8.91358232498169,8.91143238544464,8.91126126138679,24,0.0563792369897671,8.91710671924409,0.00480176736609431
"2003-05-20",8.59181976318359,8.59254430469714,8.59236919226157,19,0.0563646994845788,8.59249417922076,0.00593331914240074
"2003-05-21",9.2033166885376,9.20997193654378,9.20966047072784,15,0.0785217472447605,9.19806889125279,0.0071714890874301
"2003-06-23",4.21968984603882,4.20446300506592,4.20418974959094,3,0.058607624623213,4.20446300506592,0.0139393840670253
"2003-06-27",0.814797222614288,0.807243195447055,0.805883359196225,11,0.0486254524219615,0.816277623176575,0.0494535438998745
"2003-07-01",1.36138641834259,1.33690378069878,1.33093815997184,4,0.143133945636782,1.33690378069878,0.107063760087482
"2003-07-02",1.33405148983002,1.32911636034648,1.32754002695491,15,0.0668113959024921,1.32993329488314,0.0417514396281613
"2003-07-07",3.59170246124268,3.52131826536996,3.50293484039664,21,0.362629481470111,3.5925822634446,0.0833591314641035
"2003-07-18",3.9033637046814,3.91652640342712,3.91431654338441,25,0.134298150393342,3.9168173017956,0.0264909484918249
"2003-07-30",2.5033118724823,2.51103723966158,2.50886000245071,13,0.108889955182214,2.51103723966158,0.0433645321790964
"2003-07-31",3.13635551929474,3.14149370193481,3.14042992464072,20,0.0840399786909349,3.13199539745555,0.020034583679366
"2003-08-19",2.39385461807251,2.41050121307373,2.40977816543813,25,0.0606655795084903,2.3991583119268,0.0197012147586656
"2003-08-23",2.56489086151123,2.56033877531687,2.55614394022717,18,0.150751897143111,2.57442416864283,0.055414707706433
"2003-08-25",0.541612386703491,0.560146544660841,0.55843882522151,7,0.04806295012283,0.560146544660841,0.0858042428020891
"2003-08-28",2.25248551368713,2.25687085665189,2.25560320663646,13,0.0795940640455449,2.2401347955068,0.0242000652232123
"2003-08-31",3.34973812103271,3.34879527489344,3.34609705969612,12,0.140959813832135,3.32588302005421,0.0367349530742229
"2003-09-03",4.7303581237793,4.78893224398295,4.76602629263942,12,0.492657092716761,4.70622829957442,0.0893179983927995
"2003-09-06",3.29382014274597,3.32829121589661,3.32601976455184,25,0.126869454237897,3.2943948507309,0.0268815793500895
"2003-09-07",3.23448395729065,3.23768949508667,3.23399799143671,10,0.162795106796495,3.2102763387892,0.0455267866478507
"2003-09-08",1.56756955385208,1.58352261239832,1.58148837966306,22,0.0828631192384371,1.56037612965232,0.0394938346108706
"2003-09-09",0.858060300350189,0.887144628693076,0.862678020126379,17,0.212946370405649,0.842439293861389,0.217657915403311
"2003-09-10",3.12608647346497,3.13461717437295,3.13244390663444,17,0.119877710309083,3.16054906845093,0.0321029865014816
"2003-09-11",3.69900321960449,3.71407950401306,3.71178495402063,25,0.133424134379069,3.71210856664748,0.0281922069460788
"2003-09-13",4.43329524993896,4.41744590759277,4.4156568233562,25,0.128355492332762,4.40889503739097,0.0249301527602711
"2003-09-14",3.07246589660645,3.0593621134758,3.05309526426429,4,0.224872232072271,3.0593621134758,0.0735029799453158
"2003-09-15",4.05866146087646,4.03784548319303,4.03707899912524,13,0.0820476229836217,4.0242146452268,0.01705197858123
"2003-09-17",4.03125905990601,4.04094195365906,4.04034469742691,25,0.0710511610348991,4.04366325248371,0.0138527557620388
"2003-09-18",3.00971746444702,3.02509546279907,3.02434039565227,23,0.0691769170169266,3.0240086881738,0.0177732055173355
"2003-09-22",2.57173156738281,2.56434631347656,2.56260194353046,25,0.0962977347471812,2.56619470460074,0.0260424817540034
"2003-09-24",2.01767134666443,2.03814068047897,2.03627245133824,23,0.0898039289658248,2.01431088447571,0.0341236287659473
"2003-09-26",3.81773257255554,3.80279061907814,3.80053486489671,21,0.133764236263569,3.80608182204397,0.0297061938958532
