"degree","coefficient","lower","upper"
"a0",-0.230578414441606,-0.322068955769348,-0.034113164397851
"a1",-2.8266427100035,-3.33723770657795,-1.94281488205187
"a2",-0.914176931080166,-1.86893373648243,-0.510122761387433
"a3",1.92099915659585,1.47671007847064,3.82660704350756
"a4",1.61879192758443,0.927168642999828,2.23526241996901
"aspm",-1.00237134176929,-1.26300799690523,0.0889666644605955
